song_artist,Song,Artist,break_start,break_end,break_year,break_decade,Rank,total_weeks,cons_weeks,break_duration_days,break_duration_weeks,break_duration_months,break_duration_years,multi_break,Rule,Sub_rule,Description,Link
Greatest Love Of All | Whitney Houston,Greatest Love Of All,Whitney Houston,1986-07-23,2012-02-22,2012,10s,87,18,18,9345,1335,306.0,25.0,No,Artist's death,Artist's death,Whitney Houston died a few weeks prior on February 11.,
I Wanna Dance With Somebody (Who Loves Me) | Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1987-09-09,2012-02-22,2012,10s,97,18,18,8932,1276,293.0,24.0,No,Artist's death,Artist's death,Whitney Houston died a few weeks prior on February 11.,
I Will Always Love You | Whitney Houston,I Will Always Love You,Whitney Houston,1993-05-05,2012-02-22,2012,10s,49,26,26,6867,981,225.0,18.0,Yes,Artist's death,Artist's death,Whitney Houston died a few weeks prior on February 11.,
Space Oddity | David Bowie,Space Oddity,David Bowie,1973-04-25,2016-01-27,2016,10s,39,14,14,15617,2231,513.0,42.0,No,Artist's death,Artist's death,David Bowie died a few weeks prior on January 10.,
Under Pressure | Queen & David Bowie,Under Pressure,Queen & David Bowie,1982-02-10,2016-01-27,2016,10s,97,15,14,12404,1772,407.0,33.0,No,Artist's death,Artist's death,David Bowie died a few weeks prior on January 10.,
1999 | Prince,1999,Prince,1999-01-13,2016-05-04,2016,10s,40,28,1,6321,903,207.0,17.0,Yes,Artist's death,Artist's death,Prince died a few weeks prior on April 21.,
Kiss | Prince And The Revolution,Kiss,Prince And The Revolution,1986-06-18,2016-05-04,2016,10s,90,18,18,10913,1559,358.0,29.0,No,Artist's death,Artist's death,Prince died a few weeks prior on April 21.,
Let's Go Crazy | Prince And The Revolution,Let's Go Crazy,Prince And The Revolution,1984-12-05,2016-05-04,2016,10s,93,19,19,11473,1639,376.0,31.0,No,Artist's death,Artist's death,Prince died a few weeks prior on April 21.,
Little Red Corvette | Prince,Little Red Corvette,Prince,1983-07-20,2016-05-04,2016,10s,86,22,22,11977,1711,393.0,32.0,No,Artist's death,Artist's death,Prince died a few weeks prior on April 21.,
Purple Rain | Prince And The Revolution,Purple Rain,Prince And The Revolution,1985-01-16,2016-05-04,2016,10s,91,16,16,11431,1633,375.0,31.0,Yes,Artist's death,Artist's death,Prince died a few weeks prior on April 21.,
When Doves Cry | Prince,When Doves Cry,Prince,1984-10-17,2016-05-04,2016,10s,96,21,21,11522,1646,378.0,31.0,No,Artist's death,Artist's death,Prince died a few weeks prior on April 21.,
I Would Die 4 U | Prince And The Revolution,I Would Die 4 U,Prince And The Revolution,1985-03-20,2016-05-11,2016,10s,97,15,15,11375,1625,373.0,31.0,No,Artist's death,Artist's death,Prince died a few weeks prior on April 21.,
Raspberry Beret | Prince And The Revolution,Raspberry Beret,Prince And The Revolution,1985-09-04,2016-05-11,2016,10s,97,17,17,11207,1601,368.0,30.0,No,Artist's death,Artist's death,Prince died a few weeks prior on April 21.,
Careless Whisper | Wham! Featuring George Michael,Careless Whisper,Wham! Featuring George Michael,1985-05-08,2017-01-11,2017,10s,95,21,21,11571,1653,380.0,31.0,No,Artist's death,Artist's death,"George Michael died two weeks prior on December 25, 2026",
Faith | George Michael,Faith,George Michael,1988-03-02,2017-01-11,2017,10s,95,20,20,10542,1506,346.0,28.0,No,Artist's death,Artist's death,"George Michael died two weeks prior on December 25, 2026",
In The End | Linkin Park,In The End,Linkin Park,2002-07-17,2017-08-09,2017,10s,42,38,38,5502,786,180.0,15.0,No,Artist's death,Artist's death,"The lead vocalist of Linkin Park, Chester Bennington, died by suicide two weeks prior on July 20.",
Numb | Linkin Park,Numb,Linkin Park,2004-06-09,2017-08-09,2017,10s,50,32,32,4809,687,158.0,13.0,No,Artist's death,Artist's death,"The lead vocalist of Linkin Park, Chester Bennington, died by suicide two weeks prior on July 20.",
Party Up (Up In Here) | DMX,Party Up (Up In Here),DMX,2000-07-12,2021-04-21,2021,20s,43,21,21,7588,1084,249.0,20.0,No,Artist's death,Artist's death,DMX died two weeks prior on April 9.,
Ruff Ryders' Anthem | DMX,Ruff Ryders' Anthem,DMX,1999-05-05,2021-04-21,2021,20s,96,4,1,8022,1146,263.0,21.0,Yes,Artist's death,Artist's death,DMX died two weeks prior on April 9.,
X Gon' Give It To Ya | DMX,X Gon' Give It To Ya,DMX,2003-05-21,2021-04-21,2021,20s,100,16,16,6545,935,215.0,17.0,No,Artist's death,Artist's death,DMX died two weeks prior on April 9.,
Margaritaville | Jimmy Buffett,Margaritaville,Jimmy Buffett,1977-08-24,2023-09-13,2023,20s,59,22,22,16821,2403,552.0,46.0,No,Artist's death,Artist's death,The singer died two weeks prior on September 1.,
"Mama, I'm Coming Home | Ozzy Osbourne","""Mama, I'm Coming Home""",Ozzy Osbourne,1992-06-03,2025-07-30,2025,20s,94,17,17,12110,1730,397.0,33.0,No,Artist's death,Artist's death,Ozzy Osborne died a week prior in July 22.,
Monster Mash | Bobby Boris Pickett And The Crypt-Kickers,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",1973-09-12,2021-11-10,2021,20s,31,23,20,17591,2513,577.0,48.0,Yes,Rule change,Halloween,,
Somebody's Watching Me | Rockwell,Somebody's Watching Me,Rockwell,1984-05-30,2021-11-10,2021,20s,89,19,19,13678,1954,449.0,37.0,Yes,Rule change,Halloween,"The song become big on TikTok around Halloween. However, I was not able to pin point one video, creator or trend responsible for the resurgence.",
Mistletoe | Justin Bieber,Mistletoe,Justin Bieber,2012-01-11,2021-12-22,2021,20s,53,10,8,3633,519,119.0,9.0,Yes,Rule change,Christmas,"Complete speculation. This is, probably, the case when multiple factors coincided and not just one that pushed the song to the top. In 2021 Bieber released a new album with the song ""Peaches"" debuting at #1 on Hot 100. Additionally, week before that Rolling Stone named ""Mistletoe"" as one of the worst Chrismas songs. So maybe Beliebers decide to prove RS wrong.",
Thriller | Michael Jackson,Thriller,Michael Jackson,1984-05-09,2013-11-13,2013,10s,99,14,14,10780,1540,354.0,29.0,Yes,Rule change,Halloween,"This was the first time when undeniable Halloween classic ""Thriller"" surged back into charts after the initial release.",
Party In The U.S.A. | Miley Cyrus,Party In The U.S.A.,Miley Cyrus,2010-03-03,2023-07-12,2023,20s,49,28,28,4879,697,160.0,13.0,No,Rule change,4th of July,"The streams helped to bring the song back. From Billboard.com: ""with 8 million U.S. streams (up 64%), 5.2 million radio airplay audience impressions (up 34%) and 6,000 downloads sold (up 560%) in the June 30-July 6 tracking week, according to Luminate"".",
Billie Jean | Michael Jackson,Billie Jean,Michael Jackson,1983-06-29,2014-06-04,2014,10s,98,24,24,11298,1614,371.0,30.0,Yes,Internet virality,Other (Internet),A high school-aged teenager imitating Jackson's Motown 25 performance of the song,
Get Me Bodied | Beyonce,Get Me Bodied,Beyonce,2007-09-26,2013-11-20,2013,10s,92,18,3,2247,321,73.0,6.0,Yes,Internet virality,Youtube,"From Wikipedia:
""In 2013, a video of a woman named Deborah Cohan and her doctors breaking out dancing to the song before she underwent a double mastectomy was posted on YouTube and went viral. Due to Billboard's then-new streaming rules, the song became eligible to chart on the Hot 100, giving it a new peak of number forty-six for the week of November 23, 2013.""",https://www.youtube.com/watch?v=uPdheFjRm4E
Livin' On A Prayer | Bon Jovi,Livin' On A Prayer,Bon Jovi,1987-04-29,2013-11-27,2013,10s,97,21,21,9709,1387,318.0,26.0,No,Internet virality,Youtube,"During a sport game, one fan what so hyped up so he decided to break into the dance right there at the stairs of the stadium while the song was playing. It was 2013 and it was enough to make a viral video and enough due to Billboard's rule change to bring the song back.",https://www.youtube.com/watch?v=9_xIoJzZtKg
My Boo | Ghost Town DJ's,My Boo,Ghost Town DJ's,1997-01-29,2016-05-18,2016,10s,48,31,31,7049,1007,231.0,19.0,No,Internet virality,Instagram,"Was background for the viral ""Running Man Challenge""",https://www.youtube.com/watch?v=ul7TZy9_fo4
Dreams | Fleetwood Mac,Dreams,Fleetwood Mac,1977-08-17,2020-10-14,2020,20s,97,19,19,15764,2252,517.0,43.0,No,Internet virality,TikTok,"The song was featured in a pandemic-era TikTiok by Nathan Apodaca where he rides his skate, drinks cranberry juice while listening to the song.",
Sure Thing | Miguel,Sure Thing,Miguel,2011-08-24,2023-01-18,2023,20s,49,23,23,4165,595,136.0,11.0,No,Internet virality,TikTok,The sped-up version of the song became a prominent sound that gained more than 4 million clips at the time. Read more: https://www.billboard.com/music/chart-beat/miguel-sure-thing-number-one-pop-airplay-chart-1235332707/,
Again | Fetty Wap,Again,Fetty Wap,2016-02-17,2025-02-12,2025,20s,50,26,26,3283,469,107.0,8.0,No,Internet virality,TikTok,"Was used in a self-titled meme ""Blasting Fetty Wap on the JBL Speaker"" that was launched by a single video in January of the same year. Read more: https://www.yahoo.com/lifestyle/blasting-fetty-wap-jbl-speaker-230837194.html",
Lush Life | Zara Larsson,Lush Life,Zara Larsson,2016-08-17,2026-01-14,2026,20s,75,3,1,3437,491,112.0,9.0,Yes,Internet virality,TikTok,"A clip of Zara Larsson performing the song at the ""Midnight Sun"" tour went viral.",
Ode To Billie Joe | Bobbie Gentry,Ode To Billie Joe,Bobbie Gentry,1967-11-01,1976-07-14,1976,70s,43,14,14,3178,454,104.0,8.0,No,Movie/TV show feature,Movie,"The movie was adapted from the song to ""answer many questions left unanswered by the song"", as stated by the singer Bobbie Gentry. The movie propelled the song back into the charts.",
Twist And Shout | The Beatles,Twist And Shout,The Beatles,1964-05-20,1986-08-06,1986,80s,41,11,11,8113,1159,266.0,22.0,No,Movie/TV show feature,Movie,"Featured in two movies released two days apart - ""Ferris Bueller's Day Off"" and ""Back to School"" where main characters lip-synced to/sund the song.",
Stand By Me | Ben E. King,Stand By Me,Ben E. King,1961-08-02,1986-10-01,1986,80s,55,14,14,9191,1313,301.0,25.0,No,Movie/TV show feature,Movie,"Featured in a movie ""Stand by Me""",
Do You Love Me | The Contours,Do You Love Me,The Contours,1962-12-05,1988-06-01,1988,80s,42,18,18,9310,1330,305.0,25.0,No,Movie/TV show feature,Movie,"This one is a mix up between being featured and re-release.

Per Wikipedia:
""Additionally, the resurgence in popularity of the oldies contained in the movie led to a re-release of The Contours' single ""Do You Love Me."" ""Do You Love Me"" was featured in the movie but was omitted from the original soundtrack; it was included on More Dirty Dancing. Upon being re-released, ""Do You Love Me"" became a surprise hit all over again, this time peaking at No. 11 (it originally hit No. 3 back in 1962)""",
Unchained Melody | The Righteous Brothers,Unchained Melody,The Righteous Brothers,1965-10-06,1990-08-22,1990,90s,38,13,13,9086,1298,298.0,24.0,No,Movie/TV show feature,Movie,"Featured in the 1990s movie ""Ghost"" prompted the musician to re-release their rendition on the song after this, original version, returned to charts.",
Bohemian Rhapsody | Queen,Bohemian Rhapsody,Queen,1976-06-09,1992-03-18,1992,90s,93,24,24,5761,823,189.0,15.0,Yes,Movie/TV show feature,Movie,Featured in the 1992 film Wayne's World.,
Tarzan Boy (From Teenage Mutant Ninja Turtles III) | Baltimora,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",Baltimora,1986-04-09,1993-03-24,1993,90s,98,26,26,2541,363,83.0,6.0,No,Movie/TV show feature,Movie,Was featured on the soundtrack for 'Teenage Mutant Ninja Turtles III'. Was released as a single from the soundtrack.,
Only Time | Enya,Only Time,Enya,2002-02-06,2013-12-04,2013,10s,47,31,31,4319,617,141.0,11.0,No,Movie/TV show feature,Ad,Not quite a movie or a TV show but the next best thing - an ad. This song was featured in that ad that showed how flexible Jean-Claude Van Damme is. You know which one I'm talking about.,https://www.youtube.com/watch?v=M7FIvfx5J10
Bohemian Rhapsody | Queen,Bohemian Rhapsody,Queen,1992-07-08,2018-11-14,2018,10s,47,41,17,9625,1375,316.0,26.0,Yes,Movie/TV show feature,Movie,"Not a typicall feature but it was a part of the biopic ""Bohemian Rhapsody"".",
Ghostbusters | Ray Parker Jr.,Ghostbusters,Ray Parker Jr.,1984-10-31,2021-11-10,2021,20s,98,21,21,13524,1932,444.0,37.0,Yes,Movie/TV show feature,Movie,"Was featured in the 2021 installment of the ""Ghostbusters"" franshise.",
Running Up That Hill (A Deal With God) | Kate Bush,Running Up That Hill (A Deal With God),Kate Bush,1986-01-15,2022-06-08,2022,20s,99,20,20,13293,1899,436.0,36.0,Yes,Movie/TV show feature,TV show,"Featured in the 4th season of ""Stranger Things"". Was an important plot element.",
Bye Bye Bye | *NSYNC,Bye Bye Bye,*NSYNC,2000-06-28,2024-08-14,2024,20s,40,23,23,8813,1259,289.0,24.0,No,Movie/TV show feature,Movie,"Featured in the movie ""Deadpool & Wolverine"" released in late July of 2024.",
Purple Rain | Prince And The Revolution,Purple Rain,Prince And The Revolution,2016-05-11,2026-01-14,2026,20s,4,18,2,3535,505,116.0,9.0,Yes,Movie/TV show feature,TV show,"Featured in the finale of ""Stranger Things""",
Billie Jean | Michael Jackson,Billie Jean,Michael Jackson,2014-06-04,2026-05-06,2026,20s,14,25,1,4354,622,143.0,11.0,Yes,Movie/TV show feature,Movie,"Featured in the biopic movie ""Michael"", released earlier in April'26",
Beat It | Michael Jackson,Beat It,Michael Jackson,1983-08-10,2026-05-13,2026,20s,99,25,25,15617,2231,513.0,42.0,No,Movie/TV show feature,Movie,"Featured in the biopic movie ""Michael"", released earlier in April'26",
Don't Stop 'Til You Get Enough | Michael Jackson,Don't Stop 'Til You Get Enough,Michael Jackson,1979-12-12,2026-05-13,2026,20s,98,21,21,16954,2422,557.0,46.0,No,Movie/TV show feature,Movie,"Featured in the biopic movie ""Michael"", released earlier in April'26",
Human Nature | Michael Jackson,Human Nature,Michael Jackson,1983-10-19,2026-05-13,2026,20s,87,14,14,15547,2221,510.0,42.0,No,Movie/TV show feature,Movie,"Featured in the biopic movie ""Michael"", released earlier in April'26",
Dirty Diana | Michael Jackson,Dirty Diana,Michael Jackson,1988-08-03,2026-05-20,2026,20s,77,14,14,13804,1972,453.0,37.0,No,Movie/TV show feature,Movie,"Featured in the biopic movie ""Michael"", released earlier in April'26",
Rock With You | Michael Jackson,Rock With You,Michael Jackson,1980-04-09,2026-05-20,2026,20s,96,24,24,16842,2406,553.0,46.0,No,Movie/TV show feature,Movie,"Featured in the biopic movie ""Michael"", released earlier in April'26",
Into The Night | Benny Mardones,Into The Night,Benny Mardones,1980-10-22,1989-05-03,1989,80s,99,20,20,3115,445,102.0,8.0,No,Other,Other,"From Wikipedia:
""In 1989, a ""Where Are They Now?"" Arizona radio segment spurred L.A. DJ Scott Shannon to add the song to his playlist, ultimately rocketing the song back onto the national charts, on May 6.""",
1999 | Prince,1999,Prince,1983-09-07,1999-01-13,1999,90s,95,27,15,5607,801,184.0,15.0,Yes,Other,Other,"The time has come for this song. Additionally, the label re-recorded released at the end of 1998 anticipating the approach of 1999.",
Trap Queen | Fetty Wap,Trap Queen,Fetty Wap,2016-01-27,2026-01-28,2026,20s,39,52,52,3654,522,120.0,10.0,No,Other,Artist's life events,Fetty Wap was released from jail three weeks earlier.,
Get Ur Freak On | Missy Misdemeanor Elliott,Get Ur Freak On,"Missy ""Misdemeanor"" Elliott",2001-08-29,2015-02-18,2015,10s,47,24,24,4921,703,161.0,13.0,No,Performance,Super Bowl,Performed at Super Bowl halftime XLIX where Missy Elliott was a guest performer.,
Work It | Missy Misdemeanor Elliott,Work It,"Missy ""Misdemeanor"" Elliott",2003-02-26,2015-02-18,2015,10s,44,25,25,4375,625,143.0,11.0,No,Performance,Super Bowl,Performed at Super Bowl halftime XLIX where Missy Elliott was a guest performer.,
Bad Romance | Lady Gaga,Bad Romance,Lady Gaga,2010-06-30,2017-02-22,2017,10s,50,34,34,2429,347,79.0,6.0,No,Performance,Super Bowl,Performed at Super Bowl halftime LI that Lady Gaga headlined.,
Lose Yourself | Eminem,Lose Yourself,Eminem,2003-03-05,2022-02-23,2022,20s,43,23,23,6930,990,227.0,18.0,No,Performance,Super Bowl,"Was performed at the Super Bowl LVI halftime show that Eminem, among others, headlined.",
Still D.R.E. | Dr. Dre Featuring Snoop Dogg,Still D.R.E.,Dr. Dre Featuring Snoop Dogg,2000-02-02,2022-02-23,2022,20s,99,5,1,8057,1151,264.0,22.0,Yes,Performance,Super Bowl,"Was performed at the Super Bowl LVI halftime show that Dr. Dre and Snoop Dogg, among others, headlined.",
The Next Episode | Dr. Dre Featuring Snoop Dogg,The Next Episode,Dr. Dre Featuring Snoop Dogg,2000-10-04,2022-02-23,2022,20s,58,20,20,7812,1116,256.0,21.0,No,Performance,Super Bowl,"Was performed at the Super Bowl LVI halftime show that Dr. Dre and Snoop Dogg, among others, headlined.",
Diamonds | Rihanna,Diamonds,Rihanna,2013-04-03,2023-02-22,2023,20s,47,26,26,3612,516,118.0,9.0,No,Performance,Super Bowl,Performed at Super Bowl halftime LVII that Rihanna headlined.,
Umbrella | Rihanna Featuring Jay-Z,Umbrella,Rihanna Featuring Jay-Z,2007-12-05,2023-02-22,2023,20s,44,33,33,5558,794,182.0,15.0,No,Performance,Super Bowl,Performed at Super Bowl halftime LVII that Rihanna headlined.,
We Found Love | Rihanna Featuring Calvin Harris,We Found Love,Rihanna Featuring Calvin Harris,2012-07-11,2023-02-22,2023,20s,48,41,19,3878,554,127.0,10.0,Yes,Performance,Super Bowl,Performed at Super Bowl halftime LVII that Rihanna headlined.,
Fast Car | Tracy Chapman,Fast Car,Tracy Chapman,1988-10-19,2024-02-14,2024,20s,96,21,21,12901,1843,423.0,35.0,No,Performance,Grammy,"Tracy Chapman performed ""Fast Car"" with Luke Combs at the 66th Grammy. A year prior Luke released his rendition of ""Fast Car"" that got successful as well.",
Yeah! | Usher Featuring Lil Jon & Ludacris,Yeah!,Usher Featuring Lil Jon & Ludacris,2004-11-10,2024-02-21,2024,20s,49,45,45,7042,1006,231.0,19.0,No,Performance,Super Bowl,Performed at Super Bowl halftime LVIII that Ushed headlined.,
All The Stars | Kendrick Lamar & SZA,All The Stars,Kendrick Lamar & SZA,2018-06-06,2025-02-19,2025,20s,41,21,21,2450,350,80.0,6.0,No,Performance,Super Bowl,Performed at Super Bowl halftime LIX that Kendrick Lamar headlined.,
Humble. | Kendrick Lamar,Humble.,Kendrick Lamar,2017-12-27,2025-02-19,2025,20s,47,37,37,2611,373,85.0,7.0,No,Performance,Super Bowl,Performed at Super Bowl halftime LIX that Kendrick Lamar headlined.,
"Courtesy Of The Red, White And Blue (The Angry American) | Toby Keith","""Courtesy Of The Red, White And Blue (The Angry American)""",Toby Keith,2002-10-16,2025-07-16,2025,20s,83,20,20,8309,1187,273.0,22.0,No,Performance,Super Bowl,Performed at Super Bowl halftime LIX that Kendrick Lamar headlined.,
La Cancion | J Balvin & Bad Bunny,La Cancion,J Balvin & Bad Bunny,2019-12-11,2026-02-18,2026,20s,100,8,4,2261,323,74.0,6.0,Yes,Performance,Super Bowl,Was not performed at Super Bowl halftime LX but was the songs that alongside with other Bad Bunny's songs occupied all of the 25 spots on the Billboard's Latin Streaming Songs Chart.,
Baby | Justin Bieber Featuring Ludacris,Baby,Justin Bieber Featuring Ludacris,2010-06-16,2026-04-22,2026,20s,52,20,20,5789,827,190.0,15.0,No,Performance,Coachella,"Following the (in)famous performance at this year's Coachella, three of the Bieber's songs released more than a decade ago got back into Hot 100 thanks to the new wave of streams.",https://www.billboard.com/music/chart-beat/justin-bieber-catalog-surges-streams-2026-coachella-hot-100-1236227674/
Beauty And A Beat | Justin Bieber Featuring Nicki Minaj,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,2013-04-03,2026-04-22,2026,20s,44,24,23,4767,681,156.0,13.0,Yes,Performance,Coachella,"Following the (in)famous performance at this year's Coachella, three of the Bieber's songs released more than a decade ago got back into Hot 100 thanks to the new wave of streams.",https://www.billboard.com/music/chart-beat/justin-bieber-catalog-surges-streams-2026-coachella-hot-100-1236227674/
Confident | Justin Bieber Featuring Chance the Rapper,Confident,Justin Bieber Featuring Chance the Rapper,2014-02-19,2026-04-29,2026,20s,84,3,2,4452,636,146.0,12.0,Yes,Performance,Coachella,"Following the (in)famous performance at this year's Coachella, three of the Bieber's songs released more than a decade ago got back into Hot 100 thanks to the new wave of streams.",https://www.billboard.com/music/chart-beat/justin-bieber-catalog-surges-streams-2026-coachella-hot-100-1236227674/
Come Rain Or Come Shine | Ray Charles,Come Rain Or Come Shine,Ray Charles,1960-11-30,1968-01-17,1968,60s,83,2,2,2604,372,85.0,7.0,No,Re-release,Re-release,,
Monster Mash | Bobby Boris Pickett And The Crypt-Kickers,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",1962-12-05,1970-08-26,1970,70s,59,14,14,2821,403,92.0,7.0,Yes,Re-release,Re-release,,
Help The Poor | B.B. King,Help The Poor,B.B. King,1964-07-01,1971-06-09,1971,70s,98,2,2,2534,362,83.0,6.0,No,Re-release,Re-release,,
"They're Coming To Take Me Away, Ha-Haaa! | Napoleon XIV","""They're Coming To Take Me Away, Ha-Haaa!""",Napoleon XIV,1966-08-24,1973-08-29,1973,70s,37,6,6,2562,366,84.0,7.0,No,Re-release,Re-release,Was re-released by Warner Bros. Records,
Last Kiss | J. Frank Wilson and The Cavaliers,Last Kiss,J. Frank Wilson and The Cavaliers,1964-12-09,1973-12-19,1973,70s,35,15,15,3297,471,108.0,9.0,No,Re-release,Re-release,Was re-released due to the popularity of the cover done by the Canadian group Wednesday.,
Surfin' U.S.A. | The Beach Boys,Surfin' U.S.A.,The Beach Boys,1963-07-10,1974-08-14,1974,70s,45,17,17,4053,579,133.0,11.0,No,Re-release,Re-release,"Was re-released in the U.S. as a single in July 1974 backed with ""The Warmth of the Sun"".",
Breaking Up Is Hard To Do | Neil Sedaka,Breaking Up Is Hard To Do,Neil Sedaka,1962-09-26,1975-12-10,1975,70s,43,14,14,4823,689,158.0,13.0,No,Re-release,Re-release,Was re-released to stage an artistic comeback.,
Venus | Frankie Avalon,Venus,Frankie Avalon,1959-05-27,1976-01-21,1976,70s,89,17,17,6083,869,199.0,16.0,No,Re-release,Re-release,Was re-released as a disco version to revive the artist's career.,
Lola | The Kinks,Lola,The Kinks,1970-11-25,1980-08-27,1980,80s,36,14,14,3563,509,117.0,9.0,No,Re-release,Re-release,A live version of the song was re-released as a single to promote a live album.,
Guitar Man | Elvis Presley,Guitar Man,Elvis Presley,1968-02-28,1981-01-21,1981,80s,43,6,6,4711,673,154.0,12.0,No,Re-release,Re-release,After Presley's death hig produced re-did and re-release 10 songs as an album.,
Solsbury Hill | Peter Gabriel,Solsbury Hill,Peter Gabriel,1977-05-25,1983-08-24,1983,80s,74,5,5,2282,326,74.0,6.0,No,Re-release,Re-release,A live version was released as a single.,
Daydream Believer | The Monkees,Daydream Believer,The Monkees,1968-01-31,1986-10-29,1986,80s,24,12,12,6846,978,224.0,18.0,No,Re-release,Re-release,,
What About Me | Moving Pictures,What About Me,Moving Pictures,1983-03-09,1989-08-09,1989,80s,95,26,26,2345,335,77.0,6.0,No,Re-release,Re-release,,
Fool For Your Loving | Whitesnake,Fool For Your Loving,Whitesnake,1980-09-17,1989-11-01,1989,80s,99,8,8,3332,476,109.0,9.0,No,Re-release,Re-release,,
I Melt With You | Modern English,I Melt With You,Modern English,1983-05-11,1990-06-20,1990,90s,98,7,7,2597,371,85.0,7.0,No,Re-release,Re-release,Was re-recorded for the band's 1990 album Pillow Lips.,
We Are The Champions | Queen,We Are The Champions,Queen,1978-04-19,1992-07-08,1992,90s,91,27,27,5194,742,170.0,14.0,No,Re-release,Re-release,The streets are saying that the band decided to re-release the song after New Jersey 8th graders requested it some much on the radio after their principal prohibited it from playing at the graduation.,
Lights | Journey,Lights,Journey,1978-11-01,1993-01-13,1993,90s,77,10,4,5187,741,170.0,14.0,Yes,Re-release,Re-release,The live version of the song was released on the band's career overview album Time³.,
The Star Spangled Banner | Whitney Houston,The Star Spangled Banner,Whitney Houston,1991-05-15,2001-09-26,2001,00s,98,11,11,3787,541,124.0,10.0,No,Re-release,Re-release,"Following the events of 9/11, Whitney re-released the song as a single.",
Blank Space | Taylor Swift,Blank Space,Taylor Swift,2015-07-15,2023-08-16,2023,20s,50,36,36,2954,422,97.0,8.0,No,Re-release,Re-release,Swift re-recorded and re-released her past albums following the legal dispute over the ownership of the master's of her songs.,
All I Want For Christmas Is You | Mariah Carey,All I Want For Christmas Is You,Mariah Carey,2000-01-05,2012-12-19,2012,10s,83,1,1,4732,676,155.0,12.0,Yes,Rule change,Christmas,"Even though this song looks like the best candidate for the ""Holiday"" reasoning category. However, this particular return from break happened due to the chart rules change. In 2012 Billboard allowed tracks that previously charted well and met other criteria.",
Rockin' Around The Christmas Tree | Brenda Lee,Rockin' Around The Christmas Tree,Brenda Lee,1962-12-26,2014-01-01,2014,10s,59,11,3,18634,2662,612.0,51.0,Yes,Rule change,Christmas,"Even though this song, just like ""All I Want for Christmas Is You"" seems like the best fit for the ""Holiday"" reason, this re-entry happened due to the chart rule change that allowed both of these songs to chart again.",https://web.archive.org/web/20221206022145/https://slate.com/culture/2019/12/mariah-carey-christmas-number-1-billboard-hot-100.html
The Christmas Song (Merry Christmas To You) | Nat King Cole,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",1962-12-26,2014-01-01,2014,10s,65,5,3,18634,2662,612.0,51.0,Yes,Rule change,Christmas,"Even though this song, just like ""All I Want for Christmas Is You"" seems like the best fit for the ""Holiday"" reason, this re-entry happened due to the chart rule change that allowed both of these songs to chart again.",
Jingle Bell Rock | Bobby Helms,Jingle Bell Rock,Bobby Helms,1962-12-26,2016-01-06,2016,10s,56,15,4,19369,2767,636.0,53.0,Yes,Rule change,Christmas,The rule change that allowed older songs to re-enter.,
White Christmas (1947) | Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,1962-12-26,2018-12-26,2018,10s,38,13,3,20454,2922,672.0,56.0,Yes,Rule change,Christmas,,
Run Rudolph Run | Chuck Berry,Run Rudolph Run,Chuck Berry,1958-12-24,2019-01-02,2019,10s,69,3,3,21924,3132,720.0,60.0,Yes,Rule change,Christmas,,
It's Beginning To Look A Lot Like Christmas | Michael Buble,It's Beginning To Look A Lot Like Christmas,Michael Buble,2011-12-14,2020-12-09,2020,20s,96,1,1,3283,469,107.0,8.0,Yes,Rule change,Christmas,,
Please Come Home For Christmas | Eagles,Please Come Home For Christmas,Eagles,1979-01-24,2020-12-30,2020,20s,51,8,8,15316,2188,503.0,41.0,Yes,Rule change,Christmas,,